Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair11,1,A,(0:00:40.7),Ja. Klik den.,1,Rebekka R
Pair11,1,A,(0:00:46.2),Han er sur. 2.,2,Rebekka R
Pair11,1,B,(0:00:47.0),Tre.,2,Rebekka R
Pair11,1,A,(0:00:47.2),Tre.,2,Rebekka R
Pair11,1,B,(0:00:48.2),3. Vi tager en 3'er.,2,Rebekka R
Pair11,1,A,(0:00:53.8),Ham der   han er valuable.,3,Rebekka R
Pair11,1,B,(0:00:54.4),Han er valuable. Det er en 2'er.,3,Rebekka R
Pair11,1,A,(0:00:56.3),En 2'er.,3,Rebekka R
Pair11,1,B,(0:01:01.5),"Han var god. Var han ikke det? Eller har han spot, ham her?",4,Rebekka R
Pair11,1,A,(0:01:03.8),"Han var valuable, måske.",4,Rebekka R
Pair11,1,B,(0:01:06.0),Var han ikk' det?,4,Rebekka R
Pair11,1,A,(0:01:06.2),Jo var han ikke det?,4,Rebekka R
Pair11,1,B,(0:01:07.1),Så det er en 1'er. Ikke? Nej det var ignorer.,4,Rebekka R
Pair11,1,A,(0:01:09.9),Det var en 2'er.,4,Rebekka R
Pair11,1,B,(0:01:15.8),Også en 2'er? For han har den der spots.,5,Rebekka R
Pair11,1,A,(0:01:20.0),Han er ny. Kunne det være en 4'er?,5,Rebekka R
Pair11,1,B,(0:01:22.1),Kunne det være en 4'er? Er det en 4'er?,5,Rebekka R
Pair11,1,A,(0:01:23.1),Det er en 4'er.,5,Rebekka R
Pair11,1,B,(0:01:28.1),Så er det en 2'er.,6,Rebekka R
Pair11,1,A,(0:01:29.5),"Nej, prøv at se benene. Prøv 2.",6,Rebekka R
Pair11,1,B,(0:01:30.8),Jeg lagde slet ikke mærke til benene over på den anden.,6,Rebekka R
Pair11,1,B,(0:01:37.3),"Han er dum, er han ikke det?",7,Rebekka R
Pair11,1,A,(0:01:39.2),Nej han skulle bare ignoreres.,7,Rebekka R
Pair11,1,B,(0:01:40.4),"Jo, ham ignorerer vi. Det er en 1'er.",7,Rebekka R
Pair11,1,A,(0:01:46.9),Ignorere ham?,8,Rebekka R
Pair11,1,B,(0:01:47.5),"Ignorere ham? Ja han har spots, har han ikke det?",8,Rebekka R
Pair11,1,A,(0:01:50.8),"Jo, og han har sur mund. Han er ikke stærk. 3'er.",8,Rebekka R
Pair11,1,B,(0:01:53.0),Er han en svans? Er det en 3'er? Vi nakker ham.,8,Rebekka R
Pair11,1,B,(0:02:01.1),"Han har ikke spots, men han har fede ben.",9,Rebekka R
Pair11,1,A,(0:02:03.3),Og han er ny. 1'er.,9,Rebekka R
Pair11,1,B,(0:02:06.5),1'er.,9,Rebekka R
Pair11,1,A,(0:02:12.7),"Det var en 2'er før, han var meget valuable.",10,Rebekka R
Pair11,1,B,(0:02:20.2),Det var en 1'er.,11,Rebekka R
Pair11,1,A,(0:02:20.4),Det var en 1'er.,11,Rebekka R
Pair11,1,A,(0:02:26.1),Hvad var han?,12,Rebekka R
Pair11,1,B,(0:02:27.6),Han var en... Var det ikke  skulle man ikke nakke ham?,12,Rebekka R
Pair11,1,A,(0:02:30.6),"Nej det var bare en 1'er, tror jeg.",12,Rebekka R
Pair11,1,B,(0:02:32.9),Var det det?,12,Rebekka R
Pair11,1,A,(0:02:33.1),Prøv.,12,Rebekka R
Pair11,1,A,(0:02:39.6),Han er grøn   så er han sur.,13,Rebekka R
Pair11,1,B,(0:02:41.4),Så er han sur.,13,Rebekka R
Pair11,1,A,(0:02:42.2),"Ja, dræb ham.",13,Rebekka R
Pair11,1,B,(0:02:42.5),Vi nakker ham.,13,Rebekka R
Pair11,1,A,(0:02:48.6),Han er valuable.,14,Rebekka R
Pair11,1,B,(0:02:49.2),Han er valuable. Så er den en 2'er.,14,Rebekka R
Pair11,1,A,(0:02:49.9),Ja.,14,Rebekka R
Pair11,1,B,(0:02:53.4),Det ved vi   dem der er pumpet over det hele.,15,Rebekka R
Pair11,1,A,(0:02:56.2),En 1'er.,15,Rebekka R
Pair11,1,B,(0:03:01.2),Også en 1'er.,16,Rebekka R
Pair11,1,A,(0:03:02.3),Ja.,16,Rebekka R
Pair11,1,A,(0:03:07.1),Han har pletter.,17,Rebekka R
Pair11,1,B,(0:03:07.3),Han har spots. Er det så en ,17,Rebekka R
Pair11,1,A,(0:03:10.8),Han har jo ikke trænet.,17,Rebekka R
Pair11,1,B,(0:03:12.2),"Nej han har ikke trænet, det er rigtigt.",17,Rebekka R
Pair11,1,A,(0:03:13.5),Vi kan også  tror du spots det skal ,17,Rebekka R
Pair11,1,B,(0:03:15.3), det skal væk?,17,Rebekka R
Pair11,1,A,(0:03:15.5),Det kan godt være han havde pest.,17,Rebekka R
Pair11,1,B,(0:03:16.5),Er det en kill?,17,Rebekka R
Pair11,1,A,(0:03:18.4),Skal vi prøve kill?,17,Rebekka R
Pair11,1,B,(0:03:18.7),Vi prøver en kill.,17,Rebekka R
Pair11,1,B,(0:03:24.4),Vi skal ignorere alle de helt tynde.,18,Rebekka R
Pair11,1,A,(0:03:25.3),Ja han er valuable.,18,Rebekka R
Pair11,1,B,(0:03:26.0),Han er valuable. Det er en 2'er.,18,Rebekka R
Pair11,1,A,(0:03:27.2),Ja.,18,Rebekka R
Pair11,1,B,(0:03:32.7),Hmm... (Tyk?),19,Rebekka R
Pair11,1,A,(0:03:32.9),Er han ikke også valuable?,19,Rebekka R
Pair11,1,B,(0:03:33.8),"Var han ikke det? Jo, det tror jeg.",19,Rebekka R
Pair11,1,B,(0:03:37.9),Store arme det er valuable.,20,Rebekka R
Pair11,1,A,(0:03:38.6),Ja åbenbart.,20,Rebekka R
Pair11,1,B,(0:03:40.6),Fede ben   var det ignorer   eller var det den der?,20,Rebekka R
Pair11,1,A,(0:03:42.9),"Det var 4'eren, var det ikk'?",20,Rebekka R
Pair11,1,A,(0:03:49.6),Det er friendly så.,21,Rebekka R
Pair11,1,B,(0:03:50.7),Så det er ignorer.,21,Rebekka R
Pair11,1,A,(0:03:51.8),Ja.,21,Rebekka R
Pair11,1,A,(0:03:56.8),Han er bare valuable.,22,Rebekka R
Pair11,1,B,(0:03:57.4),Han har store arme.,22,Rebekka R
Pair11,1,A,(0:03:58.3),2'er.,22,Rebekka R
Pair11,1,B,(0:03:58.5),Ja.,22,Rebekka R
Pair11,1,B,(0:04:06.4),Er det det? 4?,23,Rebekka R
Pair11,1,A,(0:04:06.6),"Ja, det tror jeg.",23,Rebekka R
Pair11,1,B,(0:04:09.8),Store arme er bare valuable fra nu af.,24,Rebekka R
Pair11,1,A,(0:04:13.6),"Han skulle ignoreres, ikke?",24,Rebekka R
Pair11,1,B,(0:04:14.4),Jo.,24,Rebekka R
Pair11,1,A,(0:04:19.5),Jeg tror han skal ignoreres.,25,Rebekka R
Pair11,1,B,(0:04:25.3),Den skal også ignoreres. Nej den har spots...,26,Rebekka R
Pair11,1,A,(0:04:26.8),Jeg synes vi dræbte en forkert tidligere.,26,Rebekka R
Pair11,1,B,(0:04:29.7),Gjorde vi det? Skal vi ignorere den?,26,Rebekka R
Pair11,1,A,(0:04:31.4),Ignorer.,26,Rebekka R
Pair11,1,A,(0:04:36.4),Han er valuable.,27,Rebekka R
Pair11,1,A,(0:04:40.9),Han er valuable.,28,Rebekka R
Pair11,1,B,(0:04:41.2),Den er valuable.,28,Rebekka R
Pair11,1,A,(0:04:46.4),Fire.,29,Rebekka R
Pair11,1,B,(0:04:47.0),Fire.,29,Rebekka R
Pair11,1,A,(0:04:52.4),Ignorere.,30,Rebekka R
Pair11,1,B,(0:04:52.9),Ingorer ham.,30,Rebekka R
Pair11,1,B,(0:04:57.4),Ignorer ham.,31,Rebekka R
Pair11,1,A,(0:04:59.6),Var det ikke den med tykke ben? Så skulle han dræbes.,31,Rebekka R
Pair11,1,B,(0:05:02.5),Skulle han det?,31,Rebekka R
Pair11,1,A,(0:05:03.2),Det tror jeg.,31,Rebekka R
Pair11,1,B,(0:05:04.0),Sådan en 3'er.,31,Rebekka R
Pair11,1,A,(0:05:05.7),Muligvis.,31,Rebekka R
Pair11,1,B,(0:05:06.0),Skal vi prøve?,31,Rebekka R
Pair11,1,A,(0:05:06.8),Ja lad os prøve det.,31,Rebekka R
Pair11,1,A,(0:05:09.3),Dem med de tynde ben skal bare ignoreres.,32,Rebekka R
Pair11,1,B,(0:05:11.8),Ignorer.,32,Rebekka R
Pair11,1,A,(0:05:16.7),Ignorer ham.,33,Rebekka R
Pair11,1,A,(0:05:22.1),Tap ham.,34,Rebekka R
Pair11,1,B,(0:05:24.5),Skal vi?,34,Rebekka R
Pair11,1,B,(0:05:29.7),Ignorer ham.,35,Rebekka R
